 education, marital-status, occupation, relationship, sex, native-country,age, education-num, capital-gain, capital-loss, hours-per-week, income
 HS-grad, Divorced, Exec-managerial, Not-in-family, Male, United-States,47,9,0,0,60, <=50K
 Some-college, Married-civ-spouse, Tech-support, Husband, Male, United-States,43,10,0,0,40, >50K
 5th-6th, Married-civ-spouse, Machine-op-inspct, Husband, Male, Mexico,46,3,0,0,40, <=50K
 Assoc-voc, Married-civ-spouse, Other-service, Husband, Male, Puerto-Rico,35,11,0,0,40, <=50K
 HS-grad, Married-civ-spouse, Adm-clerical, Husband, Male, United-States,41,9,0,0,48, <=50K
 HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Male, United-States,30,9,5013,0,40, <=50K
 Bachelors, Married-civ-spouse, Sales, Husband, Male, United-States,30,13,2407,0,40, <=50K
 7th-8th, Married-spouse-absent, ?, Not-in-family, Male, ?,32,4,0,0,40, <=50K
 HS-grad, Married-civ-spouse, Transport-moving, Husband, Male, United-States,48,9,0,0,40, <=50K
 Doctorate, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,42,16,0,0,45, >50K
 Some-college, Divorced, Tech-support, Not-in-family, Male, United-States,29,10,0,0,58, <=50K
 HS-grad, Married-civ-spouse, Craft-repair, Husband, Male, United-States,36,9,0,0,40, <=50K
 Some-college, Divorced, Adm-clerical, Not-in-family, Female, United-States,28,10,0,0,40, <=50K
 HS-grad, Married-civ-spouse, Adm-clerical, Wife, Female, United-States,53,9,0,0,40, >50K
 Some-college, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,49,10,0,0,50, >50K
 Some-college, Never-married, ?, Own-child, Male, United-States,25,10,0,0,40, <=50K
 Some-college, Never-married, Prof-specialty, Own-child, Male, United-States,19,10,0,0,32, <=50K
 Bachelors, Separated, Sales, Own-child, Female, United-States,31,13,0,0,40, <=50K
 Bachelors, Married-civ-spouse, Sales, Husband, Male, United-States,29,13,0,0,70, >50K
 Some-college, Never-married, Machine-op-inspct, Not-in-family, Male, United-States,23,10,0,0,40, <=50K
 Some-college, Married-civ-spouse, Prof-specialty, Other-relative, Male, United-States,79,10,0,0,20, <=50K
 HS-grad, Never-married, Other-service, Own-child, Male, Mexico,27,9,0,0,40, <=50K
 Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, Male, United-States,40,12,0,0,40, <=50K
 10th, Married-civ-spouse, ?, Husband, Male, United-States,67,6,0,0,2, <=50K
 11th, Never-married, Other-service, Own-child, Female, United-States,18,7,0,0,22, <=50K
 7th-8th, Married-civ-spouse, Farming-fishing, Husband, Male, United-States,31,4,0,0,40, <=50K
 HS-grad, Never-married, Sales, Not-in-family, Male, United-States,18,9,0,0,30, <=50K
 Bachelors, Married-civ-spouse, Other-service, Husband, Male, Cuba,52,13,0,0,40, <=50K
 HS-grad, Married-civ-spouse, Other-service, Wife, Female, United-States,46,9,0,0,40, <=50K
 HS-grad, Married-civ-spouse, Sales, Husband, Male, United-States,59,9,0,0,48, <=50K
 HS-grad, Divorced, Craft-repair, Not-in-family, Female, United-States,44,9,14344,0,40, >50K
 HS-grad, Divorced, Sales, Own-child, Female, United-States,53,9,0,0,35, <=50K
 HS-grad, Married-civ-spouse, Protective-serv, Husband, Male, United-States,49,9,0,0,40, >50K
 Masters, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,33,14,0,0,50, <=50K
 9th, Never-married, Sales, Not-in-family, Male, United-States,30,5,0,0,40, <=50K
 Doctorate, Never-married, Prof-specialty, Not-in-family, Female, United-States,43,16,0,0,50, >50K
 Assoc-voc, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,57,11,0,0,40, <=50K
 Some-college, Divorced, Craft-repair, Unmarried, Female, United-States,37,10,0,0,40, <=50K
 Some-college, Divorced, Machine-op-inspct, Unmarried, Female, United-States,28,10,0,0,25, <=50K
 HS-grad, Married-civ-spouse, Sales, Wife, Female, ?,30,9,0,1573,35, <=50K
 Bachelors, Married-civ-spouse, Protective-serv, Husband, Male, United-States,34,13,0,0,40, >50K
 Some-college, Never-married, Handlers-cleaners, Not-in-family, Male, United-States,29,10,0,0,50, <=50K
 Doctorate, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,48,16,0,1902,60, >50K
 Some-college, Married-civ-spouse, Sales, Husband, Male, United-States,37,10,0,0,48, >50K
 Assoc-acdm, Divorced, Exec-managerial, Unmarried, Female, England,48,12,0,0,40, <=50K
 HS-grad, Never-married, Other-service, Own-child, Male, United-States,32,9,0,0,40, <=50K
 Masters, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,76,14,0,0,40, >50K
 Bachelors, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,44,13,15024,0,60, >50K
 Masters, Never-married, Prof-specialty, Not-in-family, Female, United-States,47,14,0,0,50, <=50K
 Some-college, Never-married, Tech-support, Own-child, Female, United-States,20,10,0,0,40, <=50K
 HS-grad, Never-married, Craft-repair, Not-in-family, Male, United-States,29,9,0,0,40, <=50K
 HS-grad, Married-civ-spouse, Craft-repair, Husband, Male, United-States,32,9,7688,0,40, >50K
 10th, Never-married, ?, Own-child, Female, United-States,17,6,34095,0,32, <=50K
 11th, Never-married, Handlers-cleaners, Own-child, Male, United-States,30,7,0,0,40, <=50K
 HS-grad, Never-married, Adm-clerical, Not-in-family, Female, United-States,31,9,0,0,40, <=50K
 HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Male, United-States,42,9,0,0,40, <=50K
 Bachelors, Never-married, Sales, Other-relative, Male, United-States,24,13,0,0,40, <=50K
 Prof-school, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,38,15,0,0,40, >50K
 HS-grad, Married-civ-spouse, Other-service, Husband, Male, Canada,56,9,0,1887,50, >50K
 Some-college, Married-civ-spouse, Sales, Wife, Female, United-States,28,10,4064,0,25, <=50K
 HS-grad, Never-married, Machine-op-inspct, Own-child, Female, United-States,36,9,0,0,40, <=50K
 9th, Married-civ-spouse, Handlers-cleaners, Husband, Male, United-States,53,5,0,0,50, <=50K
 Some-college, Married-civ-spouse, Sales, Husband, Male, United-States,56,10,0,0,50, <=50K
 Assoc-voc, Married-civ-spouse, Craft-repair, Husband, Male, United-States,49,11,0,0,40, >50K
 Some-college, Married-civ-spouse, Sales, Husband, Male, United-States,55,10,0,0,56, <=50K
 HS-grad, Never-married, Craft-repair, Not-in-family, Male, United-States,22,9,0,0,41, <=50K
 Some-college, Never-married, Other-service, Own-child, Female, United-States,21,10,0,0,40, <=50K
 Bachelors, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,40,13,0,0,60, <=50K
 Bachelors, Never-married, Exec-managerial, Own-child, Male, Germany,30,13,0,0,40, <=50K
 Bachelors, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,29,13,0,0,50, >50K
 Some-college, Never-married, Other-service, Own-child, Male, United-States,19,10,0,0,35, <=50K
 Bachelors, Married-civ-spouse, Exec-managerial, Wife, Female, United-States,47,13,0,0,40, >50K
 Some-college, Never-married, Adm-clerical, Own-child, Female, United-States,20,10,0,1719,28, <=50K
 Assoc-acdm, Married-civ-spouse, Adm-clerical, Husband, Male, United-States,31,12,0,0,40, >50K
 HS-grad, Married-civ-spouse, ?, Husband, Male, United-States,35,9,0,0,40, <=50K
 Some-college, Divorced, Craft-repair, Not-in-family, Male, United-States,39,10,0,0,40, <=50K
 Assoc-acdm, Never-married, Sales, Not-in-family, Female, United-States,28,12,0,0,60, <=50K
 HS-grad, Never-married, Other-service, Not-in-family, Female, United-States,24,9,0,1762,40, <=50K
 HS-grad, Married-civ-spouse, Craft-repair, Husband, Male, United-States,38,9,4386,0,35, <=50K
 Bachelors, Married-civ-spouse, Sales, Husband, Male, United-States,37,13,0,0,50, <=50K
 Assoc-acdm, Divorced, Tech-support, Not-in-family, Female, United-States,46,12,0,0,36, <=50K
 Masters, Married-civ-spouse, Prof-specialty, Husband, Male, Iran,38,14,0,0,40, >50K
 HS-grad, Married-civ-spouse, Craft-repair, Husband, Male, United-States,43,9,0,0,60, <=50K
 Assoc-voc, Married-civ-spouse, Adm-clerical, Wife, Female, United-States,27,11,0,0,35, <=50K
 Some-college, Never-married, Sales, Own-child, Male, United-States,20,10,0,0,20, <=50K
 Some-college, Married-civ-spouse, Craft-repair, Husband, Male, United-States,49,10,0,0,40, >50K
 HS-grad, Married-civ-spouse, Craft-repair, Husband, Male, United-States,61,9,0,0,40, <=50K
 Some-college, Never-married, Sales, Own-child, Female, United-States,27,10,0,0,40, <=50K
 Some-college, Never-married, Other-service, Own-child, Male, Mexico,19,10,0,0,30, <=50K
 Assoc-voc, Never-married, Prof-specialty, Not-in-family, Female, United-States,45,11,0,1564,40, >50K
 Some-college, Never-married, Tech-support, Other-relative, Male, United-States,70,10,0,0,40, <=50K
 HS-grad, Never-married, Transport-moving, Unmarried, Female, United-States,31,9,0,0,30, <=50K
 Some-college, Married-civ-spouse, Other-service, Husband, Male, United-States,22,10,0,0,24, <=50K
 HS-grad, Widowed, Other-service, Unmarried, Female, United-States,36,9,0,0,24, <=50K
 11th, Married-civ-spouse, Craft-repair, Husband, Male, United-States,64,7,0,2179,40, <=50K
 Some-college, Divorced, ?, Not-in-family, Female, United-States,43,10,0,0,40, <=50K
 Some-college, Divorced, Adm-clerical, Unmarried, Female, Mexico,47,10,0,0,38, <=50K
 HS-grad, Never-married, Adm-clerical, Not-in-family, Female, United-States,34,9,0,0,40, <=50K
 Bachelors, Never-married, Exec-managerial, Other-relative, Female, Philippines,33,13,0,0,40, <=50K
 HS-grad, Never-married, Craft-repair, Own-child, Male, United-States,21,9,0,0,35, <=50K
 HS-grad, Divorced, ?, Not-in-family, Male, United-States,52,9,0,0,45, >50K
 HS-grad, Married-civ-spouse, Craft-repair, Husband, Male, United-States,48,9,0,0,46, <=50K
 Bachelors, Never-married, Handlers-cleaners, Not-in-family, Male, United-States,23,13,0,0,40, <=50K
 Some-college, Separated, Sales, Unmarried, Male, United-States,71,10,0,1816,2, <=50K
 HS-grad, Divorced, Craft-repair, Not-in-family, Male, United-States,29,9,0,0,60, <=50K
 Bachelors, Separated, Other-service, Other-relative, Male, United-States,42,13,0,0,50, <=50K
 1st-4th, Divorced, ?, Not-in-family, Female, United-States,68,2,0,0,20, <=50K
 HS-grad, Never-married, Other-service, Unmarried, Female, United-States,25,9,0,0,40, <=50K
 Masters, Divorced, Exec-managerial, Unmarried, Female, United-States,44,14,0,0,40, <=50K
 HS-grad, Never-married, Exec-managerial, Not-in-family, Female, England,28,9,0,0,40, <=50K
 Masters, Married-civ-spouse, Sales, Husband, Male, United-States,45,14,0,0,40, >50K
 Some-college, Divorced, Other-service, Unmarried, Female, Mexico,36,10,0,0,40, <=50K
 Assoc-acdm, Never-married, Exec-managerial, Not-in-family, Male, United-States,39,12,0,0,42, <=50K
 Masters, Widowed, Protective-serv, Unmarried, Male, United-States,46,14,0,0,40, <=50K
 11th, Never-married, Handlers-cleaners, Own-child, Male, United-States,18,7,0,0,16, <=50K
 Assoc-voc, Widowed, Prof-specialty, Not-in-family, Female, United-States,66,11,0,0,20, <=50K
 HS-grad, Never-married, Other-service, Not-in-family, Male, United-States,27,9,0,1980,40, <=50K
 HS-grad, Married-civ-spouse, Protective-serv, Husband, Male, United-States,28,9,0,0,40, <=50K
 Some-college, Married-civ-spouse, Sales, Husband, Male, United-States,51,10,0,1977,40, >50K
 Bachelors, Never-married, Craft-repair, Not-in-family, Male, United-States,27,13,0,0,50, <=50K
 Bachelors, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,28,13,0,0,40, >50K
 HS-grad, Married-spouse-absent, Sales, Unmarried, Female, United-States,27,9,0,0,25, <=50K
 HS-grad, Never-married, Craft-repair, Own-child, Male, United-States,21,9,0,0,40, <=50K
 HS-grad, Never-married, Handlers-cleaners, Not-in-family, Male, United-States,34,9,0,0,40, <=50K
 HS-grad, Never-married, Other-service, Own-child, Male, United-States,18,9,0,0,12, <=50K
 Bachelors, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,33,13,0,0,65, <=50K
 Some-college, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,44,10,0,0,38, >50K
 Some-college, Divorced, Adm-clerical, Not-in-family, Female, United-States,43,10,0,0,40, <=50K
 Some-college, Never-married, Craft-repair, Not-in-family, Male, United-States,30,10,0,0,45, <=50K
 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, Male, Mexico,40,4,0,0,40, >50K
 Some-college, Married-civ-spouse, Adm-clerical, Husband, Male, United-States,37,10,0,0,42, >50K
 HS-grad, Married-civ-spouse, Adm-clerical, Husband, Male, United-States,34,9,0,0,40, <=50K
 Bachelors, Divorced, Exec-managerial, Not-in-family, Female, United-States,41,13,0,0,40, <=50K
 Bachelors, Divorced, ?, Not-in-family, Female, United-States,53,13,0,0,50, <=50K
 Masters, Married-civ-spouse, Prof-specialty, Wife, Female, United-States,31,14,0,0,50, <=50K
 Doctorate, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,58,16,0,0,1, >50K
 Some-college, Divorced, Machine-op-inspct, Not-in-family, Female, United-States,38,10,0,0,28, <=50K
 Some-college, Married-civ-spouse, Machine-op-inspct, Husband, Male, United-States,24,10,0,0,40, <=50K
 Bachelors, Married-civ-spouse, Craft-repair, Husband, Male, United-States,41,13,0,0,40, <=50K
 Some-college, Married-civ-spouse, Tech-support, Husband, Male, United-States,47,10,0,0,45, <=50K
 Bachelors, Married-civ-spouse, Tech-support, Husband, Male, United-States,41,13,0,0,24, <=50K
 5th-6th, Married-civ-spouse, Transport-moving, Other-relative, Male, Mexico,23,3,0,0,40, <=50K
 Some-college, Divorced, Craft-repair, Not-in-family, Male, United-States,36,10,0,0,40, <=50K
 Masters, Never-married, Exec-managerial, Not-in-family, Female, United-States,40,14,14084,0,55, >50K
 Masters, Married-civ-spouse, Prof-specialty, Other-relative, Male, United-States,35,14,7298,0,40, >50K
 HS-grad, Never-married, Sales, Not-in-family, Male, United-States,24,9,0,0,40, <=50K
 Masters, Never-married, Prof-specialty, Not-in-family, Female, United-States,26,14,0,1876,40, <=50K
 HS-grad, Never-married, ?, Own-child, Male, Italy,19,9,0,0,40, <=50K
 Bachelors, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,51,13,0,0,50, >50K
 Some-college, Never-married, Prof-specialty, Not-in-family, Female, United-States,42,10,0,1340,40, <=50K
 HS-grad, Divorced, Adm-clerical, Unmarried, Female, United-States,37,9,0,0,35, <=50K
 11th, Never-married, Sales, Own-child, Female, United-States,18,7,0,0,40, <=50K
 Bachelors, Married-civ-spouse, Other-service, Husband, Male, United-States,36,13,7298,0,36, >50K
 HS-grad, Divorced, Craft-repair, Not-in-family, Male, United-States,35,9,0,0,60, <=50K
 HS-grad, Married-civ-spouse, Sales, Wife, Female, United-States,58,9,15024,0,35, >50K
 11th, Never-married, Sales, Own-child, Female, United-States,17,7,0,0,12, <=50K
 HS-grad, Married-civ-spouse, Transport-moving, Husband, Male, United-States,44,9,0,0,40, <=50K
 HS-grad, Married-civ-spouse, Craft-repair, Husband, Male, United-States,37,9,0,0,40, >50K
 Some-college, Never-married, Sales, Not-in-family, Female, United-States,35,10,0,0,40, <=50K
 HS-grad, Married-civ-spouse, Craft-repair, Husband, Male, United-States,60,9,0,0,40, <=50K
 7th-8th, Married-civ-spouse, Machine-op-inspct, Husband, Male, United-States,54,4,0,0,40, >50K
 Bachelors, Never-married, Exec-managerial, Not-in-family, Male, United-States,37,13,0,0,60, >50K
 Assoc-acdm, Divorced, Sales, Not-in-family, Female, United-States,50,12,0,0,40, <=50K
 Bachelors, Married-civ-spouse, Sales, Husband, Male, Poland,38,13,0,0,50, <=50K
 Bachelors, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,45,13,0,0,55, <=50K
 10th, Never-married, Craft-repair, Not-in-family, Male, United-States,25,6,0,0,40, <=50K
 Some-college, Married-civ-spouse, Handlers-cleaners, Husband, Male, United-States,31,10,0,0,40, <=50K
 1st-4th, Divorced, ?, Not-in-family, Male, United-States,64,2,0,0,40, <=50K
 HS-grad, Never-married, Other-service, Not-in-family, Male, United-States,90,9,0,2206,40, <=50K
 HS-grad, Married-civ-spouse, Adm-clerical, Husband, Male, United-States,54,9,0,0,20, <=50K
 Preschool, Never-married, Machine-op-inspct, Not-in-family, Female, United-States,53,1,0,0,35, <=50K
 HS-grad, Never-married, Sales, Own-child, Female, United-States,18,9,0,0,40, <=50K
 10th, Divorced, ?, Not-in-family, Female, United-States,60,6,0,0,10, <=50K
 HS-grad, Married-civ-spouse, Farming-fishing, Husband, Male, United-States,66,9,1409,0,50, <=50K
 Assoc-voc, Widowed, Adm-clerical, Not-in-family, Female, Columbia,75,11,0,0,20, <=50K
 HS-grad, Divorced, Adm-clerical, Not-in-family, Female, United-States,65,9,0,0,40, <=50K
 11th, Separated, Transport-moving, Not-in-family, Male, United-States,35,7,3674,0,40, <=50K
 HS-grad, Divorced, Sales, Unmarried, Female, United-States,41,9,0,0,38, <=50K
 Some-college, Never-married, Adm-clerical, Not-in-family, Male, United-States,25,10,0,0,42, <=50K
 Some-college, Divorced, Craft-repair, Other-relative, Female, United-States,33,10,0,0,40, <=50K
 Prof-school, Never-married, Prof-specialty, Not-in-family, Male, United-States,28,15,0,0,55, >50K
 HS-grad, Married-civ-spouse, Other-service, Husband, Male, United-States,59,9,0,0,40, <=50K
 Some-college, Never-married, Adm-clerical, Not-in-family, Female, United-States,40,10,0,0,38, <=50K
 Bachelors, Married-civ-spouse, Exec-managerial, Husband, Male, Iran,41,13,0,0,50, >50K
 Masters, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,38,14,0,0,70, >50K
 HS-grad, Never-married, Transport-moving, Own-child, Male, United-States,23,9,0,0,40, <=50K
 Bachelors, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,40,13,0,0,40, >50K
 HS-grad, Married-civ-spouse, Other-service, Wife, Female, United-States,41,9,0,0,20, <=50K
 Assoc-acdm, Married-civ-spouse, Protective-serv, Husband, Male, United-States,24,12,0,0,50, <=50K
 Some-college, Never-married, ?, Own-child, Male, United-States,20,10,0,0,20, <=50K
 Some-college, Divorced, Craft-repair, Not-in-family, Male, United-States,38,10,0,1741,40, <=50K
 HS-grad, Married-civ-spouse, Adm-clerical, Husband, Male, ?,56,9,0,0,35, <=50K
 HS-grad, Married-civ-spouse, Adm-clerical, Husband, Male, United-States,58,9,0,0,45, >50K
 HS-grad, Never-married, Other-service, Not-in-family, Female, United-States,32,9,0,0,34, <=50K
 Assoc-acdm, Married-civ-spouse, Tech-support, Husband, Male, United-States,40,12,0,1977,60, >50K
 HS-grad, Married-civ-spouse, Adm-clerical, Husband, Male, ?,45,9,0,0,40, <=50K
 Prof-school, Married-civ-spouse, Prof-specialty, Wife, Female, United-States,41,15,0,0,40, >50K
 Bachelors, Married-civ-spouse, Adm-clerical, Wife, Female, United-States,42,13,0,0,40, <=50K
 10th, Widowed, Other-service, Unmarried, Female, United-States,59,6,0,0,30, <=50K
 Some-college, Never-married, Adm-clerical, Own-child, Male, United-States,19,10,0,0,40, <=50K
 Some-college, Never-married, Transport-moving, Not-in-family, Male, United-States,58,10,0,0,20, <=50K
 HS-grad, Married-civ-spouse, Farming-fishing, Husband, Male, Cambodia,42,9,0,0,40, >50K
 HS-grad, Never-married, Other-service, Own-child, Female, United-States,20,9,0,0,40, <=50K
 HS-grad, Separated, Other-service, Not-in-family, Female, United-States,32,9,0,0,30, <=50K
 Assoc-voc, Widowed, Exec-managerial, Not-in-family, Female, United-States,45,11,0,0,45, <=50K
 7th-8th, Divorced, Craft-repair, Not-in-family, Male, United-States,50,4,0,0,40, <=50K
 Bachelors, Divorced, Prof-specialty, Own-child, Female, United-States,36,13,0,0,40, <=50K
 HS-grad, Married-civ-spouse, Sales, Husband, Male, United-States,45,9,0,0,60, <=50K
 11th, Never-married, Other-service, Own-child, Male, United-States,17,7,0,0,12, <=50K
 Some-college, Married-civ-spouse, Sales, Husband, Male, United-States,59,10,4064,0,40, <=50K
 11th, Married-civ-spouse, Craft-repair, Husband, Male, United-States,26,7,0,0,40, <=50K
 Some-college, Married-civ-spouse, Exec-managerial, Husband, Male, Thailand,37,10,0,0,75, >50K
 Some-college, Never-married, ?, Own-child, Male, Canada,19,10,0,0,24, <=50K
 HS-grad, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,64,9,0,0,40, >50K
 Bachelors, Never-married, Prof-specialty, Not-in-family, Female, United-States,33,13,0,0,45, <=50K
 HS-grad, Married-civ-spouse, Craft-repair, Wife, Female, United-States,33,9,0,0,40, >50K
 HS-grad, Married-civ-spouse, Exec-managerial, Husband, Male, United-States,61,9,0,0,40, >50K
 9th, Never-married, Other-service, Own-child, Male, United-States,17,5,1055,0,24, <=50K
 Masters, Married-civ-spouse, Farming-fishing, Husband, Male, United-States,50,14,2407,0,98, <=50K
 Masters, Never-married, Prof-specialty, Own-child, Male, United-States,27,14,0,0,35, <=50K
 HS-grad, Divorced, Prof-specialty, Own-child, Female, United-States,30,9,0,0,40, <=50K
 HS-grad, Married-civ-spouse, Handlers-cleaners, Husband, Male, United-States,43,9,0,0,40, <=50K
 Some-college, Married-civ-spouse, Craft-repair, Husband, Male, United-States,44,10,7298,0,40, >50K
 Some-college, Never-married, Exec-managerial, Not-in-family, Female, United-States,35,10,0,0,40, <=50K
 Some-college, Never-married, Tech-support, Own-child, Female, United-States,25,10,0,0,40, <=50K
 Some-college, Married-civ-spouse, Machine-op-inspct, Wife, Female, United-States,24,10,7298,0,48, >50K
 Bachelors, Never-married, Prof-specialty, Not-in-family, Female, Germany,22,13,0,0,15, <=50K
 Some-college, Married-civ-spouse, Craft-repair, Husband, Male, United-States,42,10,5178,0,40, >50K
 Assoc-acdm, Divorced, Sales, Unmarried, Female, United-States,34,12,0,0,45, <=50K
 Bachelors, Divorced, Prof-specialty, Not-in-family, Female, United-States,60,13,0,0,42, <=50K
 HS-grad, Never-married, Handlers-cleaners, Own-child, Male, United-States,21,9,0,0,40, <=50K
 Masters, Married-civ-spouse, Sales, Husband, Male, United-States,57,14,15024,0,40, >50K
 Prof-school, Married-civ-spouse, Prof-specialty, Husband, Male, United-States,41,15,0,0,60, >50K
 Some-college, Divorced, Other-service, Not-in-family, Male, United-States,50,10,0,0,45, <=50K
 Bachelors, Never-married, Exec-managerial, Not-in-family, Female, United-States,25,13,0,0,40, <=50K
